type	filesystem
creation	1787423400
used	98304
available	191910768640
referenced	98304
compressratio	1.00
mounted	no
quota	0
reservation	0
recordsize	131072
mountpoint	none
sharenfs	off
checksum	on
compression	on
atime	off
devices	on
exec	on
setuid	on
readonly	off
jailed	off
snapdir	hidden
aclmode	discard
aclinherit	restricted
createtxg	123456
canmount	on
xattr	sa
copies	1
version	5
utf8only	off
normalization	none
casesensitivity	sensitive
vscan	off
nbmand	off
sharesmb	off
refquota	0
refreservation	0
guid	1234567890123456789
primarycache	all
secondarycache	all
usedbysnapshots	0
usedbydataset	98304
usedbychildren	0
usedbyrefreservation	0
logbias	latency
objsetid	777
dedup	off
mlslabel	none
sync	standard
dnodesize	legacy
refcompressratio	1.00
written	98304
logicalused	43520
logicalreferenced	43520
volmode	default
filesystem_limit	none
snapshot_limit	none
filesystem_count	0
snapshot_count	0
snapdev	hidden
acltype	nfsv4
context	none
fscontext	none
defcontext	none
rootcontext	none
relatime	on
redundant_metadata	all
overlay	on
encryption	off
keylocation	none
keyformat	none
pbkdf2iters	0
special_small_blocks	0
prefetch	all
direct	standard
longname	off
defaultuserquota	0
defaultgroupquota	0
defaultprojectquota	0
defaultuserobjquota	0
defaultgroupobjquota	0
defaultprojectobjquota	0
org.freebsd.ioc:active	yes
